"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Abbeville County","SC","20.4","20.9333333333333","5.16666666666666","13.3333333333333","78.4333333333333","471","0.3","0.4","28.0666666666666","1.33333333333333","0","1.26666666666666","69.8666666666666","68.8333333333333","75.9333333333333","9761","12082","91068","2.48","36877","7547","1.26666666666666","430.273333333333","0.266666666666666","29.4666666666666","199607.666666666","8.7","51.5333333333333","1816","24743","25417","51.8","4167","30455","481","179","229","105","359","61","403"
"Acadia Parish","LA","14.2666666666666","26.4","7.03333333333333","11.2333333333333","74.3999999999999","1509","0.333333333333333","0.366666666666666","18.2","2.4","0","1.4","79.6333333333333","77.6333333333333","70.5666666666666","22431","26119","98400","2.72","39523","7705","1.16666666666666","818.9","2.66666666666666","29.2666666666666","-1","8.96666666666666","51.3666666666666","3175","60850","61773","94.3","17567","200911","1553","503","875","233","1243","127","1335"
"Accomack County","VA","22.4","20.8333333333333","5.86666666666666","17.9666666666666","79.1666666666666","795","0.7","0.733333333333333","28.3333333333333","8.96666666666666","0.2","1.63333333333333","68.4666666666666","60.7","68.6","14035","21151","159666","2.28333333333333","41576","8671","7.23333333333333","149.166666666666","3.16666666666666","30.3333333333333","222643.333333333","6.96666666666666","51.3","3039","33151","33164","73.8","17855","116063","997","265","571","111","851","69","843"
"Ada County","ID","13.3666666666666","24.4666666666666","6","36.8333333333333","94.1333333333333","13819","0.8","2.63333333333333","1.33333333333333","7.96666666666666","0.2","2.8","92.2333333333333","85.1","68.5","158850","175685","212666","2.59333333333333","58904","11639","5.86666666666666","1112.22666666666","2.23333333333333","27.2333333333333","-1","6.23333333333333","49.9","29437","449146","392365","372.8","254365","1922225","13929","4885","6469","1031","12233","1267","11709"
"Adair County","IA","22.4","22","5.06666666666666","17.0333333333333","91.8666666666666","201","0.233333333333333","0.5","0.466666666666666","1.96666666666666","0","0.933333333333333","97.9333333333333","96.2333333333333","76.1666666666666","3265","3688","95466","2.23","49714","10273","1.26666666666666","697.323333333333","0.4","28.0333333333333","-1","7.7","50.6666666666666","692","7468","7682","13.5","-1","20999","303","99","165","-1","285","61","225"
"Adair County","KY","17.3333333333333","20.6333333333333","5.4","14.5","75.6666666666666","539","0.3","0.333333333333333","2.96666666666666","2","0.1","1.3","95","93.3333333333333","75.1666666666666","7153","8546","84532","2.48","34356","7063","1.13333333333333","692.366666666666","0.199999999999999","29","51034.3333333333","8.13333333333333","50.4666666666666","1288","19104","18656","46","-1","68097","573","113","357","25","537","47","493"
"Adair County","MO","14.1","18.3","4.8","28.7333333333333","87.8333333333333","545","0.333333333333333","2.33333333333333","2.4","2.6","0.1","1.86666666666666","92.9666666666666","90.7333333333333","60.1666666666666","9518","11443","110666","2.35666666666666","37131","7615","2.96666666666666","672.373333333333","1.3","24.3666666666666","94051.6666666666","4.93333333333333","51.9333333333333","1453","25506","25607","45.1","-1","112077","723","151","443","19","657","97","551"
"Adair County","OK","14.9333333333333","26.8666666666666","7","12.3333333333333","78.5333333333333","459","44.7","0.666666666666666","0.533333333333333","6.43333333333333","0.0333333333333333","10.3","43.7666666666666","41.0666666666666","70.3","7942","9283","79400","2.79333333333333","33268","5673","2.26666666666666","1116.96666666666","2.1","29.4","161670.333333333","8.23333333333333","49.8","1551","21290","22683","39.6","2405","41115","619","205","325","255","321","35","573"
"Adams County","CO","9.96666666666666","27.1666666666666","7.36666666666666","22.0333333333333","82.2","12197","2.16666666666666","4.23333333333333","3.8","39.4666666666666","0.2","3","86.5666666666666","50.9333333333333","65.8","157351","170335","226932","2.95333333333333","61246","10103","15.0333333333333","769.796666666666","9","27.5666666666666","2437116.66666666","9.26666666666666","49.5333333333333","27374","493668","441603","378.2","235279","1849577","11481","4185","6131","3637","7337","1157","9829"
"Adams County","IA","22.5666666666666","21.2333333333333","6.1","14.3333333333333","91.5333333333333","113","0.433333333333333","0.633333333333333","0.433333333333333","1.2","0","0.733333333333333","97.6666666666666","96.6333333333333","79.5666666666666","1697","2010","85966","2.20333333333333","46999","9479","0.6","360.833333333333","-0.166666666666666","28.9","-1","6.43333333333333","49.9666666666666","327","3819","4029","9.5","-1","7107","93","19","51","-1","85","11","69"
"Adams County","ID","26.5666666666666","17.1","4.1","21.6666666666666","91.9333333333333","119","1.13333333333333","0.633333333333333","0.266666666666666","3.33333333333333","0.2","2.06666666666666","95.7","92.9333333333333","81.1666666666666","1723","2658","172166","2.27666666666666","39908","9341","1.06666666666666","1235.08666666666","0.5","26.5333333333333","-1","7.6","48.5333333333333","541","4033","3976","2.9","-1","-1","105","27","35","-1","91","-1","89"
